"dependentVariable" "treatment" "object" "original" "reproduction" "difference"
"time" "Basic" "31" 0.508821320534 0.7446228981017 0.46342707754508
"time" "Basic" "40" 0.565200591087 0.8053051233291 0.424812953185927
"time" "Basic" "53" 0.544758892059 0.8161326408387 0.498153867216377
"time" "Basic" "68" 0.559249711037 0.8077137708664 0.44428106966507
"time" "Basic" "89" 0.636346006393 0.8720490932466 0.370400826728898
"time" "Basic" "116" 0.744566321373 1.0090353250514 0.355198719156021
"time" "Basic" "151" 1.02196354866 1.243759799003 0.217029512093479
"time" "Basic" "197" 1.45229897499 1.697239995003 0.168657435026205
"time" "Basic" "256" 2.35760436058 2.560232043267 0.0859464319268357
"time" "Basic" "332" 4.22813780308 4.344379544259 0.0274924202078567
"time" "Basic" "432" 7.97838058472 7.953976011278 -0.00305883796628344
"time" "Basic" "562" NA NA NA
"time" "Basic" "731" NA NA NA
"time" "Basic" "951" NA NA NA
"time" "Basic" "1236" NA NA NA
"time" "Basic" "1607" NA NA NA
"time" "Basic" "2089" NA NA NA
"time" "Basic" "2716" NA NA NA
"time" "Basic" "3531" NA NA NA
"time" "Basic" "4590" NA NA NA
"time" "Basic" "5967" NA NA NA
"time" "Basic" "7757" NA NA NA
"time" "Basic" "10085" NA NA NA
"time" "Basic" "13110" NA NA NA
"time" "Basic" "17043" NA NA NA
"time" "Basic" "22157" NA NA NA
"time" "Basic" "28804" NA NA NA
"time" "Basic" "37445" NA NA NA
"time" "Basic" "48679" NA NA NA
"time" "Basic" "63282" NA NA NA
"time" "Basic" "82267" NA NA NA
"time" "Basic" "106948" NA NA NA
"time" "Basic" "139032" NA NA NA
"time" "Basic" "180742" NA NA NA
"time" "Basic" "234965" NA NA NA
"time" "Decomp" "31" 0.498499727249 0.7570577621459 0.518672369840136
"time" "Decomp" "40" 0.484924411774 0.7971547126772 0.643874165379646
"time" "Decomp" "53" 0.512474298477 0.7122536420821 0.389832903228153
"time" "Decomp" "68" 0.510799694061 0.7419992923737 0.452622820649321
"time" "Decomp" "89" 0.504278731346 0.7626663208008 0.512390417032109
"time" "Decomp" "116" 0.504295897484 0.7702540874481 0.52738519446817
"time" "Decomp" "151" 0.537394976616 0.7577067136765 0.40996240502249
"time" "Decomp" "197" 0.561928415298 0.7593219518661 0.351278794939421
"time" "Decomp" "256" 0.558821606636 0.7610280275345 0.361844313994486
"time" "Decomp" "332" 0.586726212502 0.8234111070633 0.403399216735171
"time" "Decomp" "432" 0.595520424843 0.8364275932313 0.404532167728439
"time" "Decomp" "562" 0.64464404583 0.873360323906 0.354794680189003
"time" "Decomp" "731" 0.67371776104 0.8992140769958 0.334704425199816
"time" "Decomp" "951" 0.718024778366 0.9654112100603 0.344537457686731
"time" "Decomp" "1236" 0.787298727036 0.9985731840122 0.268353611813397
"time" "Decomp" "1607" 0.864527821541 1.092835211755 0.264083334885681
"time" "Decomp" "2089" 0.9257117033 1.190526771544 0.286066458164006
"time" "Decomp" "2716" 1.11343841553 1.351026630402 0.213382448061941
"time" "Decomp" "3531" 1.30726239681 1.483893275259 0.13511509156847
"time" "Decomp" "4590" 1.51469929218 1.710460472106 0.129240952931492
"time" "Decomp" "5967" 1.82748129368 2.057302689551 0.12575854902909
"time" "Decomp" "7757" 2.22842857838 2.397247695924 0.0757570241119086
"time" "Decomp" "10085" 2.77258431911 2.915605330468 0.0515840078774988
"time" "Decomp" "13110" 3.44652509689 3.555790042876 0.0317029306081642
"time" "Decomp" "17043" 4.3058716774 4.411462020874 0.0245224083263341
"time" "Decomp" "22157" 5.47604813576 5.550147604941 0.0135315591360694
"time" "Decomp" "28804" 6.96583528519 6.920914435387 -0.00644873844469243
"time" "Decomp" "37445" 8.89995653629 8.727449989318 -0.0193828527441226
"time" "Decomp" "48679" 11.4595468521 11.24817292691 -0.0184452254454779
"time" "Decomp" "63282" NA 14.20194046496 NA
"time" "Decomp" "82267" NA NA NA
"time" "Decomp" "106948" NA NA NA
"time" "Decomp" "139032" NA NA NA
"time" "Decomp" "180742" NA NA NA
"time" "Decomp" "234965" NA NA NA
"time" "Hylaa" "31" 0.502077507973 0.7370949268343 0.468089916654738
"time" "Hylaa" "40" 0.497875213623 0.7431680440903 0.492679337624227
"time" "Hylaa" "53" 0.486507511139 0.7543799638747 0.55060291280717
"time" "Hylaa" "68" 0.467563438416 0.7644784688949 0.635026193418334
"time" "Hylaa" "89" 0.462565469742 0.7796074151993 0.685399075798141
"time" "Hylaa" "116" 0.501085495949 0.7855973720549 0.567791082372213
"time" "Hylaa" "151" 0.500030064583 0.7718092203141 0.543525629719385
